passenger_id,age,gender,date_of_birth,aadhaar_masked,phone_masked
P1000,52,F,1974-04-08,********6001,******3790
P1001,15,M,2011-03-07,********2654,******2297
P1002,72,M,1954-09-10,********8161,******5092
P1003,61,F,1965-03-12,********6475,******7151
P1004,21,M,2005-11-11,********6483,******5113
P1005,83,M,1943-03-09,********3767,******3818
P1006,87,M,1939-02-25,********3287,******5830
P1007,75,M,1951-11-24,********8480,******2119
P1008,75,M,1951-11-10,********8281,******6600
P1009,88,M,1938-04-02,********0154,******9919
P1010,24,M,2002-04-18,********4896,******9690
P1011,3,M,2023-04-19,********5098,******4718
P1012,22,M,2004-03-24,********4738,******8245
P1013,53,M,1973-01-13,********6701,******6298
P1014,2,F,2024-09-04,********7317,******2705
P1015,88,F,1938-05-26,********2606,******0141
P1016,30,M,1996-01-19,********8050,******0826
P1017,38,F,1988-10-02,********1939,******3976
P1018,2,F,2024-08-11,********4624,******9320
P1019,64,M,1962-06-10,********2513,******0329
P1020,60,M,1966-12-18,********2411,******6828
P1021,21,M,2005-01-01,********0164,******3494
P1022,33,F,1993-06-19,********1280,******5277
P1023,76,F,1950-10-24,********1586,******9973
P1024,58,M,1968-08-08,********2160,******4941
P1025,22,M,2004-07-22,********1458,******2872
P1026,89,M,1937-10-17,********6556,******5852
P1027,49,F,1977-10-11,********5615,******6699
P1028,59,F,1967-10-10,********6629,******8647
P1029,42,F,1984-12-06,********7387,******3245
P1030,60,F,1966-10-28,********0037,******2378
P1031,80,M,1946-12-17,********1632,******2643
P1032,15,M,2011-07-27,********5798,******9918
P1033,62,M,1964-04-09,********4714,******4498
P1034,62,M,1964-08-14,********6658,******4033
P1034,62,M,1964-09-24,********5466,******0083
P1035,47,F,1979-09-01,********2729,******2414
P1036,62,F,1964-07-09,********3755,******7896
P1037,51,M,1975-01-20,********0033,******8772
P1038,55,M,1971-05-04,********9912,******8741
P1039,64,F,1962-01-12,********4919,******1542
P1040,3,M,2023-07-06,********6572,******3128
P1041,51,F,1975-08-19,********1473,******0848
P1042,7,M,2019-09-01,********5494,******3124
P1043,21,M,2005-07-23,********0143,******6217
P1044,73,M,1953-05-09,********5574,******1644
P1045,39,M,1987-05-04,********4989,******3159
P1046,18,M,2008-11-28,********0842,******8191
P1047,4,M,2022-07-16,********4711,******9872
P1048,89,M,1937-09-13,********9993,******5636
P1049,60,F,1966-03-08,********3341,******0490
P1050,14,F,2012-11-08,********4471,******5622
P1051,9,F,2017-05-15,********2499,******9494
P1052,53,F,1973-10-09,********9065,******2365
P1053,2,F,2024-10-14,********8742,******5719
P1054,84,M,1942-01-15,********7468,******9821
P1055,60,M,1966-10-25,********0385,******1200
P1056,71,F,1955-12-06,********1093,******3628
P1057,44,M,1982-08-16,********4846,******5437
P1058,8,F,2018-01-10,********6584,******6368
P1059,47,F,1979-10-13,********7533,******3112
P1060,35,M,1991-08-04,********8951,******5930
P1061,78,M,1948-07-11,********6158,******9358
P1062,81,M,1945-01-11,********7240,******2051
P1063,36,F,1990-07-20,********2219,******7084
P1064,50,M,1976-08-12,********4821,******0204
P1065,4,F,2022-10-10,********3695,******5206
P1066,2,F,2024-11-07,********3953,******6046
P1067,6,F,2020-12-14,********2145,******4047
P1068,54,M,1972-02-05,********4517,******5500
P1069,4,M,2022-07-27,********7549,******9401
P1070,54,F,1972-02-05,********1746,******0232
P1071,63,M,1963-12-24,********5869,******8977
P1072,18,M,2008-02-22,********7735,******7037
P1073,44,M,1982-03-26,********0053,******5165
P1074,34,F,1992-09-09,********0422,******9588
P1075,74,F,1952-12-14,********2402,******5235
P1076,62,M,1964-12-26,********8390,******1998
P1077,14,F,2012-03-03,********1159,******9409
P1078,48,M,1978-12-04,********8961,******5806
P1079,15,M,2011-06-05,********5654,******4080
P1080,72,M,1954-11-04,********9885,******1867
P1081,78,M,1948-04-28,********8327,******3943
P1082,87,F,1939-11-27,********9809,******5504
P1083,62,F,1964-02-24,********6120,******0285
P1084,40,F,1986-03-25,********9102,******5666
P1085,85,M,1941-06-14,********4381,******8399
P1086,80,M,1946-04-25,********0034,******0915
P1087,82,M,1944-11-26,********8388,******1488
P1088,53,F,1973-02-13,********9664,******1920
P1089,24,M,2002-07-28,********9681,******7422
P1090,26,F,2000-02-05,********5523,******1187
P1091,89,F,1937-11-11,********7995,******3158
P1092,60,F,1966-01-02,********1477,******1814
P1093,41,F,1985-06-20,********0793,******9284
P1094,29,F,1997-10-06,********7788,******6383
P1095,15,F,2011-05-24,********1864,******4671
P1096,45,M,1981-11-26,********1486,******4766
P1097,65,M,1961-04-08,********2357,******2005
P1098,89,F,1937-03-06,********2962,******5381
P1099,71,F,1955-05-26,********7383,******4348
P1100,9,M,2017-05-02,********2392,******6219
P1101,88,F,1938-04-27,********8261,******3590
P1102,1,F,2025-02-27,********5305,******6900
P1102,1,F,2025-03-18,********1043,******6438
P1103,8,M,2018-10-18,********7117,******5981
P1104,88,F,1938-06-03,********6218,******1100
P1104,88,F,1938-12-25,********5319,******6503
P1104,88,F,1938-04-02,********1704,******5080
P1105,63,F,1963-05-04,********4505,******8427
P1106,11,F,2015-07-20,********4161,******0110
